Net Profit: All,Net Profit %: All,Net Profit: Long,Net Profit %: Long,Net Profit: Short,Net Profit %: Short,Gross Profit: All,Gross Profit %: All,Gross Profit: Long,Gross Profit %: Long,Gross Profit: Short,Gross Profit %: Short,Gross Loss: All,Gross Loss %: All,Gross Loss: Long,Gross Loss %: Long,Gross Loss: Short,Gross Loss %: Short,Max Run-up,Max Run-up %,Max Drawdown,Max Drawdown %,Buy & Hold Return,Buy & Hold Return %,Sharpe Ratio,Sortino Ratio,Profit Factor: All,Profit Factor: Long,Profit Factor: Short,Max Contracts Held: All,Max Contracts Held: Long,Max Contracts Held: Short,Open PL,Open PL %,Commission Paid: All,Commission Paid: Long,Commission Paid: Short,Total Closed Trades: All,Total Closed Trades: Long,Total Closed Trades: Short,Total Open Trades: All,Total Open Trades: Long,Total Open Trades: Short,Number Winning Trades: All,Number Winning Trades: Long,Number Winning Trades: Short,Number Losing Trades: All,Number Losing Trades: Long,Number Losing Trades: Short,Percent Profitable: All,Percent Profitable: Long,Percent Profitable: Short,Avg Trade: All,Avg Trade %: All,Avg Trade: Long,Avg Trade %: Long,Avg Trade: Short,Avg Trade %: Short,Avg Winning Trade: All,Avg Winning Trade %: All,Avg Winning Trade: Long,Avg Winning Trade %: Long,Avg Winning Trade: Short,Avg Winning Trade %: Short,Avg Losing Trade: All,Avg Losing Trade %: All,Avg Losing Trade: Long,Avg Losing Trade %: Long,Avg Losing Trade: Short,Avg Losing Trade %: Short,Ratio Avg Win / Avg Loss: All,Ratio Avg Win / Avg Loss: Long,Ratio Avg Win / Avg Loss: Short,Largest Winning Trade: All,Largest Winning Trade %: All,Largest Winning Trade: Long,Largest Winning Trade %: Long,Largest Winning Trade: Short,Largest Winning Trade %: Short,Largest Losing Trade: All,Largest Losing Trade %: All,Largest Losing Trade: Long,Largest Losing Trade %: Long,Largest Losing Trade: Short,Largest Losing Trade %: Short,Avg # Bars in Trades: All,Avg # Bars in Trades: Long,Avg # Bars in Trades: Short,Avg # Bars in Winning Trades: All,Avg # Bars in Winning Trades: Long,Avg # Bars in Winning Trades: Short,Avg # Bars in Losing Trades: All,Avg # Bars in Losing Trades: Long,Avg # Bars in Losing Trades: Short,__Start Year,__Start Month,__Start Day,__Direction,__Enable EMA & ADX Filters,__Take Profit:,__Stop Loss:,__EMA Trend 1,__EMA Trend 2,__Filter Value,__DI Length,__ADX Smoothing,__Period,__Factor,__Show Trendlines,__Enable Signals,__Trend Direction,__Slope Value,comment
173.25,173.25,72.65,72.65,100.59,100.59,395.95,395.95,214.31,214.31,181.64,181.64,222.7,222.7,141.65,141.65,81.05,81.05,202.11,73.96,81.64,49.07,21.19,21.19,0.25,0.42,1.78,1.51,2.24,0,0,0,0,0,78.73,45.09,33.65,35,20,15,0,0,0,24,13,11,11,7,4,68.57,65,73.33,4.95,0.33,3.63,0.24,6.71,0.45,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,70,52,94,66,46,90,78,64,103,2022,5,1,all,TRUE,1.25,1.2,33,100,28,27,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""DI Length"": 21 => 27."
104.99,104.99,48.67,48.67,56.32,56.32,428.95,428.95,230.79,230.79,198.15,198.15,323.96,323.96,182.12,182.12,141.83,141.83,142.08,68.56,105.86,63.62,21.18,21.18,0.2,0.31,1.32,1.27,1.4,0,0,0,0,0,94.49,51.82,42.67,42,23,19,0,0,0,26,14,12,16,9,7,61.9,60.87,63.16,2.5,0.17,2.12,0.14,2.96,0.2,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,67,49,88,64,47,84,70,52,94,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""Period"": 200 => 50."
90.74,90.74,43.43,43.43,47.31,47.31,313.46,313.46,164.85,164.85,148.62,148.62,222.72,222.72,121.41,121.41,101.31,101.31,162.34,81.91,91.93,79.69,21.6,21.6,0.19,0.3,1.41,1.36,1.47,0,0,0,0,0,67.49,36.06,31.44,30,16,14,0,0,0,19,10,9,11,6,5,63.33,62.5,64.29,3.02,0.2,2.71,0.18,3.38,0.23,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,73,54,95,70,50,92,79,62,100,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""Filter Value"": 40 => 28."
90.74,90.74,43.43,43.43,47.31,47.31,313.46,313.46,164.85,164.85,148.62,148.62,222.72,222.72,121.41,121.41,101.31,101.31,162.34,81.91,91.93,79.69,21.61,21.61,0.19,0.3,1.41,1.36,1.47,0,0,0,0,0,67.49,36.06,31.44,30,16,14,0,0,0,19,10,9,11,6,5,63.33,62.5,64.29,3.02,0.2,2.71,0.18,3.38,0.23,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,73,54,95,70,50,92,79,62,100,2022,5,1,all,TRUE,1.25,1.2,33,100,28,25,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""DI Length"": 27 => 25."
88.48,88.48,48.67,48.67,39.81,39.81,412.43,412.43,230.79,230.79,181.64,181.64,323.96,323.96,182.12,182.12,141.83,141.83,142.08,74.5,105.86,70.64,21.2,21.2,0.18,0.29,1.27,1.27,1.28,0,0,0,0,0,92.26,51.82,40.44,41,23,18,0,0,0,25,14,11,16,9,7,60.98,60.87,61.11,2.16,0.14,2.12,0.14,2.21,0.15,16.5,1.1,16.49,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,67,49,89,65,47,87,70,52,94,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,19,200,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 19."
83.3,83.3,2.96,2.96,80.33,80.33,346.49,346.49,164.85,164.85,181.65,181.65,263.2,263.2,161.89,161.89,101.31,101.31,171.35,91.62,121.19,100.44,21.27,21.27,0.2,0.35,1.32,1.02,1.79,0,0,0,0,0,76.44,40.53,35.91,34,18,16,0,0,0,21,10,11,13,8,5,61.76,55.56,68.75,2.45,0.16,0.16,0.01,5.02,0.33,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,67,49,88,63,41,82,74,58,100,2022,5,1,all,TRUE,1.25,1.2,33,100,28,21,19,200,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 19."
74.23,74.23,43.43,43.43,30.8,30.8,296.95,296.95,164.85,164.85,132.1,132.1,222.72,222.72,121.41,121.41,101.31,101.31,145.82,80.27,91.93,79.69,21.61,21.61,0.18,0.28,1.33,1.36,1.3,0,0,0,0,0,65.26,36.06,29.2,29,16,13,0,0,0,18,10,8,11,6,5,62.07,62.5,61.54,2.56,0.17,2.71,0.18,2.37,0.16,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,75,54,101,73,50,102,79,62,100,2022,5,1,all,TRUE,1.25,1.2,33,100,28,28,25,200,1,TRUE,TRUE,TRUE,0,"Changed ""DI Length"": 21 => 28."
66.75,66.75,23.19,23.19,43.56,43.56,329.98,329.98,164.85,164.85,165.13,165.13,263.22,263.22,141.65,141.65,121.57,121.57,139.81,71.9,76.96,57.7,21.49,21.49,0.17,0.26,1.25,1.16,1.36,0,0,0,0,0,74.23,38.29,35.94,33,17,16,0,0,0,20,10,10,13,7,6,60.61,58.82,62.5,2.02,0.13,1.36,0.09,2.72,0.18,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,73,56,92,70,52,89,78,62,97,2022,5,1,all,TRUE,1.25,1.2,33,100,28,25,25,50,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 21 => 25."
62.25,62.25,29.22,29.22,33.02,33.02,82.48,82.48,49.46,49.46,33.02,33.02,20.23,20.23,20.23,20.23,0,0,83.6,51.53,21.1,21.34,17.99,17.99,0.27,0.52,4.08,2.44,N/A,0,0,0,0,0,13.5,9.03,4.47,6,4,2,0,0,0,5,3,2,1,1,0,83.33,75,100,10.37,0.69,7.31,0.49,16.51,1.1,16.5,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,0.82,0.82,N/A,16.51,1.1,16.49,1.1,16.51,1.1,20.23,1.35,20.23,1.35,N/A,,26,18,44,26,15,44,25,25,0,2022,5,1,all,TRUE,1.25,1.2,41,100,28,21,27,200,1,TRUE,TRUE,TRUE,0,"Changed ""EMA Trend 1"": 100 => 41."
50.27,50.27,6.71,6.71,43.56,43.56,313.49,313.49,148.36,148.36,165.13,165.13,263.22,263.22,141.65,141.65,121.57,121.57,125.59,70.58,76.96,65.83,21.64,21.64,0.15,0.23,1.19,1.05,1.36,0,0,0,0,0,71.97,36.03,35.94,32,16,16,0,0,0,19,9,10,13,7,6,59.38,56.25,62.5,1.57,0.1,0.42,0.03,2.72,0.18,16.5,1.1,16.48,1.1,16.51,1.1,20.25,1.35,20.24,1.35,20.26,1.35,0.82,0.82,0.82,16.51,1.1,16.49,1.1,16.51,1.1,20.26,1.35,20.24,1.35,20.26,1.35,75,57,92,72,54,89,78,62,97,2022,5,1,all,TRUE,1.25,1.2,33,100,28,25,21,50,1,TRUE,TRUE,TRUE,0,"Changed ""ADX Smoothing"": 25 => 21."
